,date,ALGN,AMGN,BAX,BDX,BIIB,BIO,BSX,CAH,CI,CNC,COO,COR,CRL,CTLT,DGX,DVA,DXCM,ELV,EW,GEHC,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,LH,MCK,MDNAF,MDT,MOH,MTD,PODD,REGN,RVTY,STE,SYK,TECH,TMO,Ticker,UBER,UHS,UNH,VRTX,WAT,WST,XRAY,ZBH
1400,12/05/2018,235.7,202.93,,246.4,332.19,,38.51,56.2,224.84,,,,,,,66.38,,296.25,54.48,,70.86,,,70.9019607843137,333.48,,350.25,68.32,,182.976666666667,127.207903780069,,,98.75,,,,382.61,,,173.89,,251.98,,,,286.33,184.65,201.51,,,
1401,12/05/2019,274.53,233.41,82.48,252.59512195122,299.39,369.02,43.26,54.25,195.59,60.02,312.86,87.82,144.7,51.6,106.15,72.51,56.7,286.3,80.9866666666667,,65.93,140.68,52.28,69.17,345.21,251.86,319.81,93.99,145.35,193.603333333333,146.881443298969,140.61,0.999,112.2,132.49,736.85,184.23,368.34,92.83,152.95,203.21,54.4425,316.0,,28.65,141.84,282.0,223.07,223.7,147.37,58.29,143.320388349515
1402,12/05/2022,187.91,284.91,51.3,246.21,292.75,405.79,45.42,79.48,327.39,86.35,321.56,171.28,215.11,50.77,148.92,73.45,116.56,522.34,73.85,,87.98,235.35,75.11,81.47,547.42,422.3,213.86,84.08,211.93,269.72,203.084192439863,382.44,0.575,78.79,335.11,1454.37,302.43,755.45,136.94,185.47,237.9,82.6,557.21,,27.7,127.36,535.04,317.6,340.29,239.44,30.62,122.28
1403,12/05/2023,215.35,270.87,35.8,233.6,229.57,305.78,54.88,107.14,257.78,75.01,335.29,203.73,198.34,38.91,134.89,104.61,117.2,482.05,68.85,67.93,79.02,252.51,69.26,69.88,500.35,518.95,111.76,54.82,214.31,309.52,217.02,460.79,0.328,78.82,367.0,1081.88,191.14,820.9,89.35,198.55,290.51,64.38,491.6,,57.97,136.11,550.26,354.15,284.95,343.47,32.18,115.82
1404,12/06/2018,219.34,199.01,66.79,235.346341463415,326.7,262.98,36.77,54.81,214.29,67.72,277.03,85.98,130.84,37.31,88.83,61.82,32.3675,287.41,54.4433333333333,,70.19,140.85,43.25,68.6274509803922,316.27,199.69,334.32,65.1,121.85,173.03,123.35910652921,126.4,0.913,96.24,136.51,610.1,83.96,381.69,86.02,118.12,172.44,40.1225,242.04,,,131.64,276.85,179.61,193.88,108.5,36.47,109.621359223301
1405,12/06/2019,275.72,233.77,83.17,254.331707317073,300.26,374.2,44.08,54.87,198.93,60.98,307.19,88.24,146.23,52.05,106.92,72.7,56.19,285.27,79.66,,67.08,144.61,52.74,69.42,348.14,251.37,326.47,94.48,148.49,195.19,147.491408934708,142.27,1.03,113.09,133.3,761.0,183.96,372.26,94.12,154.3,203.99,54.8275,320.12,,27.86,144.71,280.19,223.25,226.3,147.47,58.05,144.203883495146
1406,12/06/2021,638.92,208.79,79.24,240.136585365854,224.11,742.36,40.7,47.7,206.59,71.77,399.97,118.9,351.38,120.86,157.64,102.1,131.1075,403.62,111.96,,69.5,233.77,74.42,72.89,432.5,592.21,351.65,65.01,263.1,323.77,248.505154639175,224.0,1.57,110.24,285.05,1535.5,259.14,625.0,181.48,225.49,254.41,117.06,622.25,,38.49,126.06,460.11,205.06,336.33,423.58,51.52,121.834951456311
1407,12/06/2022,186.04,283.29,51.51,244.39,291.47,399.59,45.16,79.4,329.64,85.93,313.1,169.32,211.21,48.22,148.97,73.83,116.83,528.4,72.27,,87.96,236.62,74.22,80.64,546.35,415.39,205.98,82.54,209.87,266.31,201.159793814433,378.04,0.52,77.08,335.63,1453.8,299.96,747.47,137.29,183.57,235.54,80.67,550.53,,26.92,127.95,539.32,311.81,337.59,234.99,30.11,121.39
1408,12/06/2023,216.87,269.35,35.93,233.45,233.87,310.73,54.82,105.87,257.49,74.4,342.57,200.67,200.68,37.95,134.92,104.16,117.94,478.3,69.49,68.05,79.36,252.39,69.11,70.62,483.8,521.56,113.99,55.42,215.59,310.26,217.87,457.59,0.328,79.04,362.81,1093.23,189.3,835.75,90.64,199.29,287.87,66.04,493.81,,59.75,135.22,549.53,353.46,289.52,342.93,32.21,116.13
1409,12/07/2018,210.28,191.44,65.02,228.721951219512,316.73,256.23,35.48,53.91,206.11,66.61,243.01,84.32,128.86,36.32,87.56,58.96,30.3525,280.53,52.4033333333333,,68.15,135.86,41.98,66.7921568627451,306.0,190.01,321.41,64.51,117.98,163.896666666667,121.958762886598,124.94,0.913,94.24,132.8,590.78,80.75,372.83,83.76,113.94,168.85,39.055,235.86,,,126.22,269.18,172.21,188.94,106.02,36.31,106.718446601942
1410,12/07/2020,517.71,226.45,77.77,230.682926829268,243.68,560.55,34.25,55.4,218.59,64.57,342.06,99.49,236.37,93.43,122.9,108.46,84.35,319.24,86.06,,60.83,155.37,73.18,68.73,403.74,459.36,342.82,83.06,170.07,254.796666666667,169.527491408935,178.26,3.96,112.61,211.45,1125.15,249.69,495.41,143.89,187.63,236.8,76.9825,472.89,,53.8,131.02,347.86,227.06,236.49,268.06,53.6,141.330097087379
1411,12/07/2021,666.72,211.32,79.88,244.253658536585,226.83,752.37,41.4,48.1,207.97,73.4,406.17,119.52,366.75,123.49,160.14,103.12,139.6,411.24,115.52,,69.65,238.6,76.15,74.58,433.01,611.43,369.43,66.73,270.3,340.49,254.390034364261,224.57,1.67,112.27,291.13,1566.15,272.5,635.09,185.57,228.32,260.55,118.24,628.71,,38.08,128.42,464.73,205.22,344.1,429.97,52.64,124.68932038835
1412,12/07/2022,187.33,285.76,52.35,246.48,292.15,403.88,45.63,80.15,332.19,87.35,314.58,170.29,212.99,47.22,149,74.83,117.91,529.9,72.58,,87.79,238.11,73.8,81.4,549.18,420.1,208.52,84.03,207.69,267.96,200.756013745704,385.51,0.51,76.91,339.28,1461.57,304.89,764.27,139.3,185.56,242.08,80.67,558.14,,26.4,128.12,542.91,317.58,340.64,235.89,29.76,124.19
